Committee,Code
Committee on Ethics,SO00
Ethics,SO00
"Committee on Science, Space, and Technology",SY00
"Science, Space, and Technology",SY00
Research and Technology,SY15
"Research and Technology (Science, Space, and Technology)",SY15
"Subcommittee on Research and Technology (Committee on Science, Space, and Technology)",SY15
"Research (Science, Space, and Technology)",SY15
Space,SY16
"Space (Science, Space, and Technology)",SY16
Space and Aeronautics,SY16
"Space and Aeronautics (Science, Space, and Technology)",SY16
"Subcommittee on Space and Aeronautics (Committee on Science, Space, and Technology)",SY16
"Subcommittee on Space (Committee on Science, Space, and Technology)",SY16
"Environment (Science, Space, and Technology)",SY18
"Subcommittee on Environment (Committee on Science, Space, and Technology)",SY18
"Technology (Science, Space, and Technology)",SY19
Investigations and Oversight,SY21
"Investigations and Oversight (Science, Space, and Technology)",SY21
"Subcommittee on Investigations and Oversight (Committee on Science, Space, and Technology)",SY21
Committee on Veterans' Affairs,VR00
Veterans' Affairs,VR00
Committee on Veterans Affairs,VR00
Subcommittee on Health (Committee on Veterans Affairs),VR03
Subcommittee on Oversight and Investigations (Committee on Veterans Affairs),VR08
Oversight and Investigations (Veterans' Affairs),VR08
Disability Assistance and Memorial Affairs,VR09
Disability Assistance and Memorial Affairs (Veterans' Affairs),VR09
Subcommittee on Disability Assistance and Memorial Affairs (Committee on Veterans Affairs),VR09
Subcommittee on Disability Assistance and Memorial Affairs (Committee on Veterans' Affairs),VR09
Economic Opportunity,VR10
Economic Opportunity (Veterans' Affairs),VR10
Subcommittee on Economic Opportunity (Committee on Veterans Affairs),VR10
Subcommittee on Economic Opportunity (Committee on Veterans' Affairs),VR10
Technology Modernization,VR11
Technology Modernization (Veterans' Affairs),VR11
Subcommittee on Technology Modernization (Committee on Veterans Affairs),VR11
Subcommittee on Technology Modernization (Committee on Veterans' Affairs),VR11
Human Resources,WM??
Committee on Ways and Means,WM00
Ways and Means,WM00
Social Security,WM01
Social Security (Ways and Means),WM01
Subcommittee on Social Security (Committee on Ways and Means),WM01
Worker and Family Support,WM03
Worker and Family Support (Ways and Means),WM03
Subcommittee on Worker and Family Support (Committee on Ways and Means),WM03
Subcommittee on Human Resources (Committee on Ways and Means),WM03
Trade,WM04
Trade (Ways and Means),WM04
Subcommittee on Trade (Committee on Ways and Means),WM04
Select Revenue Measures,WM05
Select Revenue Measures (Ways and Means),WM05
Subcommittee on Select Revenue Measures (Committee on Ways and Means),WM05
Subcommittee on Tax Policy (Committee on Ways and Means),WM05
Oversight,WM06
"Oversight (Science, Space, and Technology)",WM06
Oversight (Ways and Means),WM06
Subcommittee on Oversight (Committee on Ways and Means),WM06
"Subcommittee on Oversight (Committee on Science, Space, and Technology)",WM06
Select the Events Surrounding the 2012 Terrorist Attack in Benghazi,ZI00
Select Committee on the Events Surrounding the 2012 Terrorist Attack in Benghazi,ZI00
