,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
HM00,Michael T. McCaul,Lamar Smith,Peter T. King,Mike Rogers,Candice S. Miller,Jeff Duncan,Tom Marino,Lou Barletta,Scott Perry,Curt Clawson,John Katko,Will Hurd,"Earl L. ""Buddy"" Carter",Mark Walker,Barry Loudermilk,Martha McSally,John Ratcliffe,"Daniel M. Donovan,  Jr.",Bennie G. Thompson,Loretta Sanchez,Sheila Jackson Lee,James R. Langevin,Brian Higgins,Cedric L. Richmond,William R. Keating,"Donald M. Payne,  Jr.",Filemon Vela,Bonnie Watson Coleman,Kathleen M. Rice,Norma J. Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM05,Peter T. King,Candice S. Miller,Lou Barletta,John Katko,Will Hurd,Michael T. McCaul,Brian Higgins,William R. Keating,Filemon Vela,Bennie G. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM11,Martha McSally,Lamar Smith,Mike Rogers,Candice S. Miller,Jeff Duncan,Lou Barletta,Will Hurd,Michael T. McCaul,Filemon Vela,Loretta Sanchez,Sheila Jackson Lee,Brian Higgins,Norma J. Torres,Bennie G. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM09,Scott Perry,Jeff Duncan,Curt Clawson,"Earl L. ""Buddy"" Carter",Barry Loudermilk,Michael T. McCaul,Bonnie Watson Coleman,Cedric L. Richmond,Norma J. Torres,Bennie G. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM07,John Katko,Mike Rogers,"Earl L. ""Buddy"" Carter",Mark Walker,John Ratcliffe,Michael T. McCaul,Kathleen M. Rice,William R. Keating,"Donald M. Payne,  Jr.",Bennie G. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM12,"Daniel M. Donovan,  Jr.",Tom Marino,Mark Walker,Barry Loudermilk,Martha McSally,Michael T. McCaul,"Donald M. Payne,  Jr.",Bonnie Watson Coleman,Kathleen M. Rice,Bennie G. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM08,John Ratcliffe,Peter T. King,Tom Marino,Scott Perry,Curt Clawson,"Daniel M. Donovan,  Jr.",Michael T. McCaul,Cedric L. Richmond,Loretta Sanchez,Sheila Jackson Lee,James R. Langevin,Bennie G. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HA00,Candice S. Miller,Gregg Harper,Richard B. Nugent,Rodney Davis,Barbara Comstock,Mark Walker,Robert A. Brady,Zoe Lofgren,Juan Vargas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU00,Bob Goodlatte,"F. James Sensenbrenner,  Jr.",Lamar Smith,Steve Chabot,Darrell E. Issa,J. Randy Forbes,Steve King,Trent Franks,Louie Gohmert,Jim Jordan,Ted Poe,Jason Chaffetz,Tom Marino,Trey Gowdy,Rael R. Labrador,Blake Farenthold,Doug Collins,Ron DeSantis,Mimi Walters,Ken Buck,John Ratcliffe,David A. Trott,Mike Bishop,"John Conyers,  Jr.",Jerrold Nadler,Zoe Lofgren,Sheila Jackson Lee,Steve Cohen,"Henry C. ""Hank"" Johnson,  Jr.",Pedro R. Pierluisi,Judy Chu,Theodore E. Deutch,Luis V. Gutierrez,Karen Bass,Cedric L. Richmond,Suzan K. DelBene,Hakeem S. Jeffries,David N. Cicilline,Scott H. Peters,,,,,,,,,,,,,,,,,,,,,,
JU10,Trent Franks,Ron DeSantis,Steve King,Louie Gohmert,Jim Jordan,Steve Cohen,Jerrold Nadler,Theodore E. Deutch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU03,Darrell E. Issa,Doug Collins,"F. James Sensenbrenner,  Jr.",Lamar Smith,Steve Chabot,J. Randy Forbes,Trent Franks,Jim Jordan,Ted Poe,Jason Chaffetz,Tom Marino,Blake Farenthold,Ron DeSantis,Mimi Walters,Jerrold Nadler,Judy Chu,Theodore E. Deutch,Karen Bass,Cedric L. Richmond,Suzan K. DelBene,Hakeem S. Jeffries,David N. Cicilline,Scott H. Peters,Zoe Lofgren,Steve Cohen,"Henry C. ""Hank"" Johnson,  Jr.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU08,"F. James Sensenbrenner,  Jr.",Louie Gohmert,Steve Chabot,J. Randy Forbes,Ted Poe,Jason Chaffetz,Trey Gowdy,Rael R. Labrador,Ken Buck,Mike Bishop,Sheila Jackson Lee,Pedro R. Pierluisi,Judy Chu,Luis V. Gutierrez,Karen Bass,Cedric L. Richmond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU01,Trey Gowdy,Rael R. Labrador,Lamar Smith,Steve King,Ken Buck,John Ratcliffe,David A. Trott,Zoe Lofgren,Luis V. Gutierrez,Sheila Jackson Lee,Pedro R. Pierluisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU05,Tom Marino,Blake Farenthold,Darrell E. Issa,Doug Collins,Mimi Walters,John Ratcliffe,David A. Trott,Mike Bishop,"Henry C. ""Hank"" Johnson,  Jr.",Suzan K. DelBene,Hakeem S. Jeffries,David N. Cicilline,Scott H. Peters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II00,Rob Bishop,Don Young,Louie Gohmert,Doug Lamborn,Robert J. Wittman,John Fleming,Tom McClintock,Glenn Thompson,Cynthia M. Lummis,Dan Benishek,Jeff Duncan,Paul A. Gosar,Rael R. Labrador,Doug LaMalfa,Jeff Denham,Paul Cook,Bruce Westerman,Garret Graves,Dan Newhouse,Ryan K. Zinke,Jody B. Hice,Aumua Amata Coleman Radewagen,Thomas MacArthur,Alexander X. Mooney,Cresent Hardy,Darin LaHood,Rael M. Grijalva,Grace F. Napolitano,Madeleine Z. Bordallo,Jim Costa,Gregorio Kilili Camacho Sablan,Niki Tsongas,Pedro R. Pierluisi,Jared Huffman,Raul Ruiz,Alan S. Lowenthal,"Donald S. Beyer,  Jr.",Norma J. Torres,Debbie Dingell,Ruben Gallego,Lois Capps,Jared Polis,Wm. Lacy Clay,,,,,,,,,,,,,,,,,,
II06,Doug Lamborn,Louie Gohmert,Robert J. Wittman,John Fleming,Glenn Thompson,Cynthia M. Lummis,Dan Benishek,Jeff Duncan,Paul A. Gosar,Rael R. Labrador,Paul Cook,Garret Graves,Ryan K. Zinke,Jody B. Hice,Alexander X. Mooney,Cresent Hardy,Rob Bishop,Alan S. Lowenthal,Jim Costa,Niki Tsongas,"Donald S. Beyer,  Jr.",Ruben Gallego,Lois Capps,Jared Polis,Rael M. Grijalva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II10,Tom McClintock,Don Young,Louie Gohmert,Glenn Thompson,Cynthia M. Lummis,Rael R. Labrador,Doug LaMalfa,Bruce Westerman,Dan Newhouse,Ryan K. Zinke,Jody B. Hice,Thomas MacArthur,Cresent Hardy,Darin LaHood,Rob Bishop,Niki Tsongas,"Donald S. Beyer,  Jr.",Pedro R. Pierluisi,Jared Huffman,Alan S. Lowenthal,Debbie Dingell,Lois Capps,Jared Polis,Rael M. Grijalva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II15,Louie Gohmert,Doug Lamborn,Rael R. Labrador,Bruce Westerman,Jody B. Hice,Aumua Amata Coleman Radewagen,Alexander X. Mooney,Darin LaHood,Rob Bishop,Debbie Dingell,Jared Huffman,Ruben Gallego,Jared Polis,Wm. Lacy Clay,Rael M. Grijalva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II24,Don Young,Dan Benishek,Paul A. Gosar,Doug LaMalfa,Jeff Denham,Paul Cook,Aumua Amata Coleman Radewagen,Rob Bishop,Raul Ruiz,Madeleine Z. Bordallo,Gregorio Kilili Camacho Sablan,Pedro R. Pierluisi,Norma J. Torres,Rael M. Grijalva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II13,John Fleming,Don Young,Robert J. Wittman,Tom McClintock,Cynthia M. Lummis,Jeff Duncan,Paul A. Gosar,Doug LaMalfa,Jeff Denham,Garret Graves,Dan Newhouse,Thomas MacArthur,Rob Bishop,Jared Huffman,Grace F. Napolitano,Jim Costa,Ruben Gallego,Madeleine Z. Bordallo,Gregorio Kilili Camacho Sablan,Raul Ruiz,Alan S. Lowenthal,Norma J. Torres,Debbie Dingell,Rael M. Grijalva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO00,Jason Chaffetz,John L. Mica,Michael R. Turner,"John J. Duncan,  Jr.",Jim Jordan,Tim Walberg,Justin Amash,Paul A. Gosar,Scott DesJarlais,Trey Gowdy,Blake Farenthold,Cynthia M. Lummis,Thomas Massie,Mark Meadows,Ron DeSantis,Mick Mulvaney,Ken Buck,Mark Walker,Rod Blum,Jody B. Hice,Steve Russell,"Earl L. ""Buddy"" Carter",Glenn Grothman,Will Hurd,Gary J. Palmer,Elijah E. Cummings,Carolyn B. Maloney,Eleanor Holmes Norton,Wm. Lacy Clay,Stephen F. Lynch,Jim Cooper,Gerald E. Connolly,Tammy Duckworth,Robin L. Kelly,Brenda L. Lawrence,Ted Lieu,Bonnie Watson Coleman,Stacey E. Plaskett,Mark DeSaulnier,Brendan F. Boyle,Peter Welch,Michelle Lujan Grisham,,,,,,,,,,,,,,,,,,,
GO24,Mark Meadows,Jim Jordan,Tim Walberg,Trey Gowdy,Thomas Massie,Mick Mulvaney,Ken Buck,"Earl L. ""Buddy"" Carter",Glenn Grothman,Gerald E. Connolly,Carolyn B. Maloney,Eleanor Holmes Norton,Wm. Lacy Clay,Stacey E. Plaskett,Stephen F. Lynch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO27,Jim Jordan,Tim Walberg,Scott DesJarlais,Trey Gowdy,Cynthia M. Lummis,Mark Meadows,Ron DeSantis,Mick Mulvaney,Mark Walker,Jody B. Hice,"Earl L. ""Buddy"" Carter",Eleanor Holmes Norton,Bonnie Watson Coleman,Mark DeSaulnier,Brendan F. Boyle,Jim Cooper,Michelle Lujan Grisham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO25,Will Hurd,Blake Farenthold,Mark Walker,Rod Blum,Paul A. Gosar,Robin L. Kelly,Gerald E. Connolly,Tammy Duckworth,Ted Lieu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO28,Cynthia M. Lummis,Paul A. Gosar,Blake Farenthold,Ken Buck,Steve Russell,Gary J. Palmer,Brenda L. Lawrence,Stacey E. Plaskett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO06,Ron DeSantis,John L. Mica,"John J. Duncan,  Jr.",Jody B. Hice,Steve Russell,Will Hurd,Stephen F. Lynch,Ted Lieu,Robin L. Kelly,Brenda L. Lawrence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO29,John L. Mica,Michael R. Turner,"John J. Duncan,  Jr.",Justin Amash,Thomas Massie,Glenn Grothman,Tammy Duckworth,Bonnie Watson Coleman,Mark DeSaulnier,Brendan F. Boyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RU00,Pete Sessions,Virginia Foxx,Tom Cole,Rob Woodall,Michael C. Burgess,Steve Stivers,Doug Collins,Bradley Byrne,Dan Newhouse,Louise McIntosh Slaughter,James P. McGovern,Alcee L. Hastings,Jared Polis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RU02,Rob Woodall,Virginia Foxx,Michael C. Burgess,Bradley Byrne,Dan Newhouse,Alcee L. Hastings,Jared Polis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RU04,Steve Stivers,Doug Collins,Bradley Byrne,Dan Newhouse,Pete Sessions,Louise McIntosh Slaughter,James P. McGovern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY00,Lamar Smith,"F. James Sensenbrenner,  Jr.",Dana Rohrabacher,Frank D. Lucas,Randy Neugebauer,Michael T. McCaul,Mo Brooks,Randy Hultgren,Bill Posey,Thomas Massie,Jim Bridenstine,"Randy K. Weber,  Sr.",John R. Moolenaar,Stephen Knight,Brian Babin,Bruce Westerman,Barbara Comstock,Gary J. Palmer,Barry Loudermilk,Ralph Lee Abraham,Darin LaHood,Warren Davidson,Eddie Bernice Johnson,Zoe Lofgren,Daniel Lipinski,Donna F. Edwards,Suzanne Bonamici,Eric Swalwell,Alan Grayson,Ami Bera,Elizabeth H. Esty,Marc A. Veasey,Katherine M. Clark,"Donald S. Beyer,  Jr.",Ed Perlmutter,Paul Tonko,Mark Takano,Bill Foster,,,,,,,,,,,,,,,,,,,,,,,
SY20,"Randy K. Weber,  Sr.",Dana Rohrabacher,Randy Neugebauer,Mo Brooks,Randy Hultgren,Thomas Massie,Stephen Knight,Barbara Comstock,Barry Loudermilk,Lamar Smith,Alan Grayson,Eric Swalwell,Marc A. Veasey,Daniel Lipinski,Katherine M. Clark,Ed Perlmutter,Eddie Bernice Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY18,Jim Bridenstine,"F. James Sensenbrenner,  Jr.",Randy Neugebauer,"Randy K. Weber,  Sr.",John R. Moolenaar,Brian Babin,Bruce Westerman,Gary J. Palmer,Ralph Lee Abraham,Lamar Smith,Suzanne Bonamici,Donna F. Edwards,Alan Grayson,Ami Bera,Mark Takano,Bill Foster,Eddie Bernice Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY21,Barry Loudermilk,"F. James Sensenbrenner,  Jr.",Bill Posey,Thomas Massie,Darin LaHood,Warren Davidson,Lamar Smith,"Donald S. Beyer,  Jr.",Alan Grayson,Zoe Lofgren,Eddie Bernice Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY15,Barbara Comstock,Frank D. Lucas,Michael T. McCaul,Randy Hultgren,John R. Moolenaar,Bruce Westerman,Gary J. Palmer,Ralph Lee Abraham,Darin LaHood,Lamar Smith,Daniel Lipinski,Elizabeth H. Esty,Katherine M. Clark,Paul Tonko,Suzanne Bonamici,Eric Swalwell,Eddie Bernice Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY16,Brian Babin,Dana Rohrabacher,Frank D. Lucas,Michael T. McCaul,Mo Brooks,Bill Posey,Jim Bridenstine,Stephen Knight,Warren Davidson,Lamar Smith,Donna F. Edwards,Ami Bera,Zoe Lofgren,Ed Perlmutter,Marc A. Veasey,"Donald S. Beyer,  Jr.",Eddie Bernice Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM00,Steve Chabot,Steve King,Blaine Luetkemeyer,Richard L. Hanna,Tim Huelskamp,Christopher P. Gibson,Dave Brat,Aumua Amata Coleman Radewagen,Stephen Knight,Carlos Curbelo,Cresent Hardy,Trent Kelly,Warren Davidson,Nydia M. Velezquez,Judy Chu,Janice Hahn,"Donald M. Payne,  Jr.",Grace Meng,Brenda L. Lawrence,Yvette D. Clarke,Alma S. Adams,Seth Moulton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM25,Carlos Curbelo,Steve King,Blaine Luetkemeyer,Tim Huelskamp,Christopher P. Gibson,Dave Brat,Grace Meng,Brenda L. Lawrence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM23,Richard L. Hanna,Steve King,Christopher P. Gibson,Stephen Knight,Cresent Hardy,Trent Kelly,Judy Chu,Brenda L. Lawrence,Yvette D. Clarke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM27,Tim Huelskamp,Richard L. Hanna,Dave Brat,Aumua Amata Coleman Radewagen,Trent Kelly,Warren Davidson,Judy Chu,Janice Hahn,"Donald M. Payne,  Jr.",Yvette D. Clarke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM26,Aumua Amata Coleman Radewagen,Blaine Luetkemeyer,Carlos Curbelo,Seth Moulton,Judy Chu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM24,Cresent Hardy,Stephen Knight,Warren Davidson,Alma S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PW00,Bill Shuster,Don Young,"John J. Duncan,  Jr.",John L. Mica,Frank A. LoBiondo,Sam Graves,Candice S. Miller,Duncan Hunter,"Eric A. ""Rick"" Crawford",Lou Barletta,Blake Farenthold,Bob Gibbs,Richard L. Hanna,Daniel Webster,Jeff Denham,Reid J. Ribble,Thomas Massie,Mark Meadows,Scott Perry,Rodney Davis,Mark Sanford,Rob Woodall,Todd Rokita,John Katko,Brian Babin,Cresent Hardy,Ryan A. Costello,Garret Graves,Mimi Walters,Barbara Comstock,Carlos Curbelo,David Rouzer,Lee M. Zeldin,Mike Bost,Peter A. DeFazio,Eleanor Holmes Norton,Jerrold Nadler,Corrine Brown,Eddie Bernice Johnson,Elijah E. Cummings,Rick Larsen,Michael E. Capuano,Grace F. Napolitano,Daniel Lipinski,Steve Cohen,Albio Sires,Donna F. Edwards,John Garamendi,Andre Carson,Janice Hahn,Richard M. Nolan,Ann Kirkpatrick,Dina Titus,Sean Patrick Maloney,Elizabeth H. Esty,Lois Frankel,Cheri Bustos,Jared Huffman,Julia Brownley,,
PW05,Frank A. LoBiondo,Don Young,"John J. Duncan,  Jr.",John L. Mica,Sam Graves,Candice S. Miller,Blake Farenthold,Richard L. Hanna,Reid J. Ribble,Mark Meadows,Rodney Davis,Mark Sanford,Rob Woodall,Todd Rokita,Ryan A. Costello,Mimi Walters,Barbara Comstock,Carlos Curbelo,Lee M. Zeldin,Bill Shuster,Rick Larsen,Eleanor Holmes Norton,Eddie Bernice Johnson,Daniel Lipinski,Andre Carson,Ann Kirkpatrick,Dina Titus,Sean Patrick Maloney,Cheri Bustos,Julia Brownley,Michael E. Capuano,Steve Cohen,Richard M. Nolan,John Garamendi,Peter A. DeFazio,,,,,,,,,,,,,,,,,,,,,,,,,,
PW07,Duncan Hunter,Don Young,Frank A. LoBiondo,Bob Gibbs,Mark Sanford,Garret Graves,Carlos Curbelo,David Rouzer,Lee M. Zeldin,Bill Shuster,John Garamendi,Elijah E. Cummings,Corrine Brown,Janice Hahn,Lois Frankel,Julia Brownley,Peter A. DeFazio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PW13,Lou Barletta,"Eric A. ""Rick"" Crawford",Thomas Massie,Mark Meadows,Scott Perry,Ryan A. Costello,Barbara Comstock,Carlos Curbelo,David Rouzer,Andre Carson,Eleanor Holmes Norton,Albio Sires,Donna F. Edwards,Dina Titus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PW12,Sam Graves,Don Young,"John J. Duncan,  Jr.",John L. Mica,Frank A. LoBiondo,Duncan Hunter,"Eric A. ""Rick"" Crawford",Lou Barletta,Blake Farenthold,Bob Gibbs,Richard L. Hanna,Daniel Webster,Jeff Denham,Reid J. Ribble,Thomas Massie,Mark Meadows,Scott Perry,Rodney Davis,Rob Woodall,John Katko,Brian Babin,Cresent Hardy,Ryan A. Costello,Garret Graves,Mimi Walters,Barbara Comstock,Mike Bost,Bill Shuster,Eleanor Holmes Norton,Jerrold Nadler,Eddie Bernice Johnson,Steve Cohen,Albio Sires,Donna F. Edwards,Janice Hahn,Richard M. Nolan,Ann Kirkpatrick,Dina Titus,Sean Patrick Maloney,Elizabeth H. Esty,Lois Frankel,Cheri Bustos,Jared Huffman,Julia Brownley,Michael E. Capuano,Grace F. Napolitano,Corrine Brown,Daniel Lipinski,Peter A. DeFazio,,,,,,,,,,,,
PW14,Jeff Denham,"John J. Duncan,  Jr.",John L. Mica,Sam Graves,Candice S. Miller,Lou Barletta,Blake Farenthold,Richard L. Hanna,Daniel Webster,Scott Perry,Todd Rokita,John Katko,Brian Babin,Cresent Hardy,Mimi Walters,Lee M. Zeldin,Mike Bost,Bill Shuster,Michael E. Capuano,Corrine Brown,Daniel Lipinski,Jerrold Nadler,Elijah E. Cummings,Rick Larsen,Steve Cohen,Albio Sires,Richard M. Nolan,Elizabeth H. Esty,Grace F. Napolitano,Janice Hahn,Peter A. DeFazio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PW02,Bob Gibbs,Candice S. Miller,Duncan Hunter,"Eric A. ""Rick"" Crawford",Daniel Webster,Jeff Denham,Reid J. Ribble,Thomas Massie,Rodney Davis,Mark Sanford,Todd Rokita,John Katko,Brian Babin,Cresent Hardy,Garret Graves,David Rouzer,Mike Bost,Bill Shuster,Grace F. Napolitano,Donna F. Edwards,John Garamendi,Lois Frankel,Jared Huffman,Eddie Bernice Johnson,Ann Kirkpatrick,Dina Titus,Sean Patrick Maloney,Elizabeth H. Esty,Eleanor Holmes Norton,Richard M. Nolan,Peter A. DeFazio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VR00,Jeff Miller,Doug Lamborn,Gus M. Bilirakis,David P. Roe,Dan Benishek,Tim Huelskamp,Mike Coffman,Brad R. Wenstrup,Jackie Walorski,Ralph Lee Abraham,Lee M. Zeldin,Ryan A. Costello,Aumua Amata Coleman Radewagen,Mike Bost,Corrine Brown,Mark Takano,Julia Brownley,Dina Titus,Raul Ruiz,Ann M. Kuster,Beto O'Rourke,Kathleen M. Rice,Timothy J. Walz,Jerry McNerney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VR09,Ralph Lee Abraham,Doug Lamborn,Lee M. Zeldin,Ryan A. Costello,Mike Bost,Dina Titus,Julia Brownley,Raul Ruiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VR10,Brad R. Wenstrup,Lee M. Zeldin,Aumua Amata Coleman Radewagen,Ryan A. Costello,Mike Bost,Mark Takano,Dina Titus,Kathleen M. Rice,Jerry McNerney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VR03,Dan Benishek,Gus M. Bilirakis,David P. Roe,Tim Huelskamp,Mike Coffman,Brad R. Wenstrup,Ralph Lee Abraham,Julia Brownley,Mark Takano,Raul Ruiz,Ann M. Kuster,Beto O'Rourke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VR08,Mike Coffman,Doug Lamborn,David P. Roe,Dan Benishek,Tim Huelskamp,Jackie Walorski,Ann M. Kuster,Beto O'Rourke,Kathleen M. Rice,Timothy J. Walz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WM00,Kevin Brady,Sam Johnson,Devin Nunes,Patrick J. Tiberi,David G. Reichert,"Charles W. Boustany,  Jr.",Peter J. Roskam,Tom Price,Vern Buchanan,Adrian Smith,Lynn Jenkins,Erik Paulsen,Kenny Marchant,Diane Black,Tom Reed,Todd C. Young,Mike Kelly,James B. Renacci,Patrick Meehan,Kristi L. Noem,George Holding,Jason Smith,Robert J. Dold,Tom Rice,Sander M. Levin,Charles B. Rangel,Jim McDermott,John Lewis,Richard E. Neal,Xavier Becerra,Lloyd Doggett,Mike Thompson,John B. Larson,Earl Blumenauer,Ron Kind,"Bill Pascrell,  Jr.",Joseph Crowley,Danny K. Davis,Linda T. Senchez,,,,,,,,,,,,,,,,,,,,,,
WM02,Patrick J. Tiberi,Sam Johnson,Devin Nunes,Peter J. Roskam,Tom Price,Vern Buchanan,Adrian Smith,Lynn Jenkins,Kenny Marchant,Diane Black,Erik Paulsen,Jim McDermott,Mike Thompson,Ron Kind,Earl Blumenauer,"Bill Pascrell,  Jr.",Danny K. Davis,John Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WM03,Vern Buchanan,Kristi L. Noem,Jason Smith,Robert J. Dold,Tom Rice,Tom Reed,David G. Reichert,Lloyd Doggett,John Lewis,Joseph Crowley,Danny K. Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WM06,Peter J. Roskam,Patrick Meehan,George Holding,Jason Smith,Tom Reed,Tom Rice,Kenny Marchant,John Lewis,Joseph Crowley,Charles B. Rangel,Danny K. Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WM05,"Charles W. Boustany,  Jr.",David G. Reichert,Patrick J. Tiberi,Tom Reed,Todd C. Young,Mike Kelly,James B. Renacci,Kristi L. Noem,George Holding,Richard E. Neal,John B. Larson,Linda T. Senchez,Mike Thompson,Lloyd Doggett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WM01,Sam Johnson,Robert J. Dold,Vern Buchanan,Adrian Smith,Mike Kelly,James B. Renacci,Tom Rice,Xavier Becerra,John B. Larson,Earl Blumenauer,Jim McDermott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WM04,David G. Reichert,Devin Nunes,Adrian Smith,Lynn Jenkins,"Charles W. Boustany,  Jr.",Erik Paulsen,Kenny Marchant,Todd C. Young,Mike Kelly,Patrick Meehan,Charles B. Rangel,Richard E. Neal,Earl Blumenauer,Ron Kind,"Bill Pascrell,  Jr.",Lloyd Doggett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZI00,Trey Gowdy,Lynn A. Westmoreland,Jim Jordan,Peter J. Roskam,Mike Pompeo,Martha Roby,Susan W. Brooks,Elijah E. Cummings,Adam Smith,Adam B. Schiff,Linda T. Senchez,Tammy Duckworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG00,Devin Nunes,Jeff Miller,K. Michael Conaway,Peter T. King,Frank A. LoBiondo,Lynn A. Westmoreland,Thomas J. Rooney,Joseph J. Heck,Mike Pompeo,Ileana Ros-Lehtinen,Michael R. Turner,Brad R. Wenstrup,Chris Stewart,Adam B. Schiff,James A. Himes,Terri A. Sewell,Andre Carson,Jackie Speier,Mike Quigley,Eric Swalwell,Patrick Murphy,Joaquin Castro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG01,Frank A. LoBiondo,K. Michael Conaway,Peter T. King,Lynn A. Westmoreland,Thomas J. Rooney,Mike Pompeo,Eric Swalwell,James A. Himes,Andre Carson,Joaquin Castro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
