,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
FA07,Paul Cook,Christopher H. Smith,Ileana Ros-Lehtinen,Michael T. McCaul,Mo Brooks,Ted S. Yoho,Francis Rooney,Albio Sires,Joaquin Castro,Robin L. Kelly,Norma J. Torres,Adriano Espaillat,Gregory W. Meeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM00,Michael T. McCaul,Lamar Smith,Peter T. King,Mike Rogers,Lou Barletta,Scott Perry,John Katko,Will Hurd,Martha McSally,John Ratcliffe,"Daniel M. Donovan,  Jr.",Mike Gallagher,Clay Higgins,"Thomas A. Garrett,  Jr.",Brian K. Fitzpatrick,Ron Estes,Don Bacon,Debbie Lesko,Bennie G. Thompson,Sheila Jackson Lee,James R. Langevin,Cedric L. Richmond,William R. Keating,"Donald M. Payne,  Jr.",Filemon Vela,Bonnie Watson Coleman,Kathleen M. Rice,J. Luis Correa,Val Butler Demings,Nanette Diaz Barragen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM05,Peter T. King,Lou Barletta,Scott Perry,Will Hurd,Mike Gallagher,Michael T. McCaul,Kathleen M. Rice,Sheila Jackson Lee,William R. Keating,Bennie G. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM09,Scott Perry,John Ratcliffe,Clay Higgins,"Thomas A. Garrett,  Jr.",Ron Estes,Michael T. McCaul,J. Luis Correa,Kathleen M. Rice,Nanette Diaz Barragen,Bennie G. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM07,John Katko,Mike Rogers,Brian K. Fitzpatrick,Ron Estes,Debbie Lesko,Michael T. McCaul,Bonnie Watson Coleman,William R. Keating,"Donald M. Payne,  Jr.",Bennie G. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM11,Martha McSally,Lamar Smith,Mike Rogers,Lou Barletta,Will Hurd,Clay Higgins,Don Bacon,Michael T. McCaul,Filemon Vela,Cedric L. Richmond,J. Luis Correa,Val Butler Demings,Nanette Diaz Barragen,Bennie G. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM08,John Ratcliffe,John Katko,"Daniel M. Donovan,  Jr.",Mike Gallagher,Brian K. Fitzpatrick,Don Bacon,Michael T. McCaul,Cedric L. Richmond,Sheila Jackson Lee,James R. Langevin,Val Butler Demings,Bennie G. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM12,"Daniel M. Donovan,  Jr.",Peter T. King,Martha McSally,"Thomas A. Garrett,  Jr.",Debbie Lesko,Michael T. McCaul,"Donald M. Payne,  Jr.",James R. Langevin,Bonnie Watson Coleman,Bennie G. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HA00,Gregg Harper,Rodney Davis,Barbara Comstock,Mark Walker,Adrian Smith,Barry Loudermilk,Robert A. Brady,Zoe Lofgren,Jamie Raskin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU00,Bob Goodlatte,"F. James Sensenbrenner,  Jr.",Lamar Smith,Steve Chabot,Darrell E. Issa,Steve King,Louie Gohmert,Jim Jordan,Ted Poe,Tom Marino,Trey Gowdy,Rael R. Labrador,Doug Collins,Ken Buck,John Ratcliffe,Martha Roby,Matt Gaetz,Mike Johnson,Andy Biggs,John H. Rutherford,Karen C. Handel,Keith J. Rothfus,Jerrold Nadler,Zoe Lofgren,Sheila Jackson Lee,Steve Cohen,"Henry C. ""Hank"" Johnson,  Jr.",Theodore E. Deutch,Luis V. Gutierrez,Karen Bass,Cedric L. Richmond,Hakeem S. Jeffries,David N. Cicilline,Eric Swalwell,Ted Lieu,Jamie Raskin,Pramila Jayapal,Bradley Scott Schneider,Val Butler Demings,,,,,,,,,,,,,,,,,,,,,
JU10,Steve King,Louie Gohmert,Karen C. Handel,Steve Cohen,Jamie Raskin,Theodore E. Deutch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU03,Darrell E. Issa,Doug Collins,Lamar Smith,Steve Chabot,Jim Jordan,Ted Poe,Tom Marino,Trey Gowdy,Rael R. Labrador,Matt Gaetz,Andy Biggs,John H. Rutherford,Keith J. Rothfus,"Henry C. ""Hank"" Johnson,  Jr.",Theodore E. Deutch,Karen Bass,Cedric L. Richmond,Hakeem S. Jeffries,Eric Swalwell,Ted Lieu,Bradley Scott Schneider,Zoe Lofgren,Steve Cohen,David N. Cicilline,Pramila Jayapal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU08,"F. James Sensenbrenner,  Jr.",Louie Gohmert,Steve Chabot,Ted Poe,Trey Gowdy,John Ratcliffe,Martha Roby,Mike Johnson,John H. Rutherford,Keith J. Rothfus,Sheila Jackson Lee,Val Butler Demings,Karen Bass,Cedric L. Richmond,Hakeem S. Jeffries,Ted Lieu,Jamie Raskin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU01,Rael R. Labrador,Ken Buck,"F. James Sensenbrenner,  Jr.",Lamar Smith,Steve King,Jim Jordan,Mike Johnson,Andy Biggs,Zoe Lofgren,Luis V. Gutierrez,Pramila Jayapal,Sheila Jackson Lee,Jamie Raskin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU05,Tom Marino,John Ratcliffe,Darrell E. Issa,Doug Collins,Ken Buck,Matt Gaetz,Karen C. Handel,David N. Cicilline,"Henry C. ""Hank"" Johnson,  Jr.",Eric Swalwell,Bradley Scott Schneider,Val Butler Demings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II00,Rob Bishop,Don Young,Louie Gohmert,Doug Lamborn,Robert J. Wittman,Tom McClintock,Stevan Pearce,Glenn Thompson,Paul A. Gosar,Rael R. Labrador,Scott R. Tipton,Doug LaMalfa,Jeff Denham,Paul Cook,Bruce Westerman,Garret Graves,Jody B. Hice,Aumua Amata Coleman Radewagen,Daniel Webster,Jack Bergman,Liz Cheney,Mike Johnson,Jenniffer Gonzelez-Colen,Greg Gianforte,John R. Curtis,Rael M. Grijalva,Grace F. Napolitano,Madeleine Z. Bordallo,Jim Costa,Gregorio Kilili Camacho Sablan,Niki Tsongas,Jared Huffman,Alan S. Lowenthal,"Donald S. Beyer,  Jr.",Ruben Gallego,Colleen Hanabusa,Nanette Diaz Barragen,Darren Soto,A. Donald McEachin,Anthony G. Brown,Wm. Lacy Clay,Jimmy Gomez,Nydia M. Velezquez,,,,,,,,,,,,,,,,,
II06,Paul A. Gosar,Louie Gohmert,Doug Lamborn,Robert J. Wittman,Stevan Pearce,Glenn Thompson,Scott R. Tipton,Paul Cook,Garret Graves,Jody B. Hice,Jack Bergman,Liz Cheney,John R. Curtis,Rob Bishop,Alan S. Lowenthal,Anthony G. Brown,Jim Costa,Niki Tsongas,Jared Huffman,"Donald S. Beyer,  Jr.",Darren Soto,Nanette Diaz Barragen,Nydia M. Velezquez,Rael M. Grijalva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II10,Tom McClintock,Don Young,Stevan Pearce,Glenn Thompson,Rael R. Labrador,Scott R. Tipton,Bruce Westerman,Daniel Webster,Jack Bergman,Liz Cheney,Greg Gianforte,John R. Curtis,Rob Bishop,Colleen Hanabusa,Niki Tsongas,Alan S. Lowenthal,Ruben Gallego,A. Donald McEachin,Anthony G. Brown,Jimmy Gomez,Rael M. Grijalva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II15,Bruce Westerman,Louie Gohmert,Rael R. Labrador,Aumua Amata Coleman Radewagen,Mike Johnson,Jenniffer Gonzelez-Colen,Rob Bishop,A. Donald McEachin,Ruben Gallego,Jared Huffman,Darren Soto,Wm. Lacy Clay,Rael M. Grijalva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II24,Doug LaMalfa,Don Young,Jeff Denham,Paul Cook,Aumua Amata Coleman Radewagen,Jack Bergman,Jenniffer Gonzelez-Colen,Rob Bishop,Ruben Gallego,Madeleine Z. Bordallo,Gregorio Kilili Camacho Sablan,Darren Soto,Colleen Hanabusa,Nydia M. Velezquez,Rael M. Grijalva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II13,Doug Lamborn,Robert J. Wittman,Tom McClintock,Paul A. Gosar,Doug LaMalfa,Jeff Denham,Garret Graves,Jody B. Hice,Daniel Webster,Mike Johnson,Greg Gianforte,Rob Bishop,Jared Huffman,Grace F. Napolitano,Jim Costa,"Donald S. Beyer,  Jr.",Nanette Diaz Barragen,Madeleine Z. Bordallo,Gregorio Kilili Camacho Sablan,Jimmy Gomez,Rael M. Grijalva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO00,Trey Gowdy,"John J. Duncan,  Jr.",Darrell E. Issa,Jim Jordan,Mark Sanford,Justin Amash,Paul A. Gosar,Scott DesJarlais,Virginia Foxx,Thomas Massie,Mark Meadows,Dennis A. Ross,Mark Walker,Rod Blum,Jody B. Hice,Steve Russell,Glenn Grothman,Will Hurd,Gary J. Palmer,James Comer,Paul Mitchell,Greg Gianforte,Michael Cloud,Elijah E. Cummings,Carolyn B. Maloney,Eleanor Holmes Norton,Wm. Lacy Clay,Stephen F. Lynch,Jim Cooper,Gerald E. Connolly,Robin L. Kelly,Brenda L. Lawrence,Bonnie Watson Coleman,Raja Krishnamoorthi,Jamie Raskin,Jimmy Gomez,Peter Welch,Matt Cartwright,Mark DeSaulnier,Stacey E. Plaskett,John P. Sarbanes,,,,,,,,,,,,,,,,,,,
GO24,Mark Meadows,Jody B. Hice,Jim Jordan,Mark Sanford,Thomas Massie,Dennis A. Ross,Rod Blum,Gerald E. Connolly,Carolyn B. Maloney,Eleanor Holmes Norton,Wm. Lacy Clay,Brenda L. Lawrence,Bonnie Watson Coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO27,Jim Jordan,Mark Walker,Darrell E. Issa,Mark Sanford,Scott DesJarlais,Mark Meadows,Glenn Grothman,Paul Mitchell,Raja Krishnamoorthi,Jim Cooper,Eleanor Holmes Norton,Robin L. Kelly,Bonnie Watson Coleman,Stacey E. Plaskett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO25,Will Hurd,Paul Mitchell,Darrell E. Issa,Justin Amash,Steve Russell,Greg Gianforte,Michael Cloud,Robin L. Kelly,Jamie Raskin,Stephen F. Lynch,Gerald E. Connolly,Raja Krishnamoorthi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO29,Gary J. Palmer,Glenn Grothman,"John J. Duncan,  Jr.",Virginia Foxx,Thomas Massie,Mark Walker,Mark Sanford,Jamie Raskin,Mark DeSaulnier,Matt Cartwright,Wm. Lacy Clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO28,Greg Gianforte,Paul A. Gosar,Dennis A. Ross,Gary J. Palmer,James Comer,Michael Cloud,Stacey E. Plaskett,Jamie Raskin,Jimmy Gomez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO06,Steve Russell,"John J. Duncan,  Jr.",Justin Amash,Paul A. Gosar,Virginia Foxx,Jody B. Hice,James Comer,Stephen F. Lynch,Peter Welch,Mark DeSaulnier,Jimmy Gomez,John P. Sarbanes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RU00,Pete Sessions,Tom Cole,Rob Woodall,Michael C. Burgess,Doug Collins,Bradley Byrne,Dan Newhouse,Ken Buck,Liz Cheney,James P. McGovern,Alcee L. Hastings,Jared Polis,Norma J. Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RU02,Rob Woodall,Michael C. Burgess,Bradley Byrne,Dan Newhouse,Ken Buck,Alcee L. Hastings,Jared Polis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RU04,Doug Collins,Bradley Byrne,Dan Newhouse,Liz Cheney,Pete Sessions,James P. McGovern,Norma J. Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY00,Lamar Smith,Dana Rohrabacher,Frank D. Lucas,Mo Brooks,Randy Hultgren,Bill Posey,Thomas Massie,"Randy K. Weber,  Sr.",Stephen Knight,Brian Babin,Barbara Comstock,Ralph Lee Abraham,Gary J. Palmer,Daniel Webster,Andy Biggs,Roger W. Marshall,Neal P. Dunn,Clay Higgins,Ralph Norman,Debbie Lesko,Michael Cloud,Troy Balderson,Eddie Bernice Johnson,Zoe Lofgren,Daniel Lipinski,Suzanne Bonamici,Ami Bera,Elizabeth H. Esty,Marc A. Veasey,"Donald S. Beyer,  Jr.",Jacky Rosen,Conor Lamb,Jerry McNerney,Ed Perlmutter,Paul Tonko,Bill Foster,Mark Takano,Colleen Hanabusa,Charlie Crist,,,,,,,,,,,,,,,,,,,,,
SY20,"Randy K. Weber,  Sr.",Dana Rohrabacher,Frank D. Lucas,Mo Brooks,Randy Hultgren,Stephen Knight,Gary J. Palmer,Daniel Webster,Neal P. Dunn,Ralph Norman,Michael Cloud,Lamar Smith,Marc A. Veasey,Zoe Lofgren,Daniel Lipinski,Jacky Rosen,Jerry McNerney,Paul Tonko,Bill Foster,Mark Takano,Eddie Bernice Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY18,Andy Biggs,Dana Rohrabacher,Bill Posey,Mo Brooks,"Randy K. Weber,  Sr.",Brian Babin,Gary J. Palmer,Clay Higgins,Ralph Norman,Debbie Lesko,Lamar Smith,Suzanne Bonamici,Colleen Hanabusa,Charlie Crist,Conor Lamb,Eddie Bernice Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY21,Ralph Lee Abraham,Bill Posey,Thomas Massie,Roger W. Marshall,Clay Higgins,Ralph Norman,Troy Balderson,Lamar Smith,"Donald S. Beyer,  Jr.",Jerry McNerney,Ed Perlmutter,Eddie Bernice Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY15,Barbara Comstock,Frank D. Lucas,Randy Hultgren,Stephen Knight,Daniel Webster,Roger W. Marshall,Debbie Lesko,Michael Cloud,Troy Balderson,Lamar Smith,Daniel Lipinski,Elizabeth H. Esty,Jacky Rosen,Suzanne Bonamici,Ami Bera,"Donald S. Beyer,  Jr.",Eddie Bernice Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY16,Brian Babin,Dana Rohrabacher,Frank D. Lucas,Mo Brooks,Randy Hultgren,Thomas Massie,Bill Posey,Stephen Knight,Barbara Comstock,Ralph Lee Abraham,Daniel Webster,Andy Biggs,Neal P. Dunn,Clay Higgins,Lamar Smith,Ami Bera,Zoe Lofgren,"Donald S. Beyer,  Jr.",Marc A. Veasey,Daniel Lipinski,Ed Perlmutter,Charlie Crist,Bill Foster,Conor Lamb,Eddie Bernice Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM00,Steve Chabot,Steve King,Blaine Luetkemeyer,Dave Brat,Aumua Amata Coleman Radewagen,Stephen Knight,Trent Kelly,Rod Blum,Jenniffer Gonzelez-Colen,Brian K. Fitzpatrick,Roger W. Marshall,Ralph Norman,John R. Curtis,Troy Balderson,Nydia M. Velezquez,Dwight Evans,Stephanie N. Murphy,"Al Lawson,  Jr.",Yvette D. Clarke,Judy Chu,Alma S. Adams,Adriano Espaillat,Bradley Scott Schneider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM25,Rod Blum,Steve King,Blaine Luetkemeyer,Aumua Amata Coleman Radewagen,John R. Curtis,Troy Balderson,Bradley Scott Schneider,"Al Lawson,  Jr.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM23,Stephen Knight,Steve King,Ralph Norman,Stephanie N. Murphy,Yvette D. Clarke,Dwight Evans,"Al Lawson,  Jr.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM27,Dave Brat,Stephen Knight,Trent Kelly,Jenniffer Gonzelez-Colen,Brian K. Fitzpatrick,Troy Balderson,Dwight Evans,Judy Chu,Stephanie N. Murphy,Yvette D. Clarke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM26,Aumua Amata Coleman Radewagen,Blaine Luetkemeyer,Dave Brat,Jenniffer Gonzelez-Colen,Brian K. Fitzpatrick,Roger W. Marshall,"Al Lawson,  Jr.",Adriano Espaillat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM24,Trent Kelly,Rod Blum,Roger W. Marshall,Ralph Norman,John R. Curtis,Alma S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PW00,Bill Shuster,Don Young,"John J. Duncan,  Jr.",Frank A. LoBiondo,Sam Graves,"Eric A. ""Rick"" Crawford",Lou Barletta,Bob Gibbs,Daniel Webster,Jeff Denham,Thomas Massie,Mark Meadows,Scott Perry,Rodney Davis,Mark Sanford,Rob Woodall,Todd Rokita,John Katko,Brian Babin,Garret Graves,Barbara Comstock,David Rouzer,Mike Bost,"Randy K. Weber,  Sr.",Doug LaMalfa,Bruce Westerman,Lloyd Smucker,Paul Mitchell,John J. Faso,"A. Drew Ferguson,  IV",Brian J. Mast,Jason Lewis,Mike Gallagher,Peter A. DeFazio,Eleanor Holmes Norton,Eddie Bernice Johnson,Elijah E. Cummings,Rick Larsen,Michael E. Capuano,Grace F. Napolitano,Daniel Lipinski,Steve Cohen,Albio Sires,John Garamendi,"Henry C. ""Hank"" Johnson,  Jr.",Andre Carson,Richard M. Nolan,Dina Titus,Sean Patrick Maloney,Elizabeth H. Esty,Lois Frankel,Cheri Bustos,Jared Huffman,Julia Brownley,Frederica S. Wilson,"Donald M. Payne,  Jr.",Alan S. Lowenthal,Brenda L. Lawrence,Mark DeSaulnier,Stacey E. Plaskett
PW05,Frank A. LoBiondo,Don Young,"John J. Duncan,  Jr.",Sam Graves,Bob Gibbs,Daniel Webster,Jeff Denham,Thomas Massie,Mark Meadows,Scott Perry,Rodney Davis,Mark Sanford,Rob Woodall,Todd Rokita,Barbara Comstock,Doug LaMalfa,Bruce Westerman,Lloyd Smucker,Paul Mitchell,Jason Lewis,Rick Larsen,Eddie Bernice Johnson,Daniel Lipinski,Andre Carson,Cheri Bustos,Eleanor Holmes Norton,Dina Titus,Sean Patrick Maloney,Julia Brownley,"Donald M. Payne,  Jr.",Brenda L. Lawrence,Michael E. Capuano,Grace F. Napolitano,Steve Cohen,"Henry C. ""Hank"" Johnson,  Jr.",Richard M. Nolan,,,,,,,,,,,,,,,,,,,,,,,,
PW07,Brian J. Mast,Don Young,Frank A. LoBiondo,Garret Graves,David Rouzer,"Randy K. Weber,  Sr.",Jason Lewis,John Garamendi,Elijah E. Cummings,Rick Larsen,Jared Huffman,Alan S. Lowenthal,Stacey E. Plaskett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PW13,Lou Barletta,"Eric A. ""Rick"" Crawford",Barbara Comstock,Mike Bost,John J. Faso,"A. Drew Ferguson,  IV",Brian J. Mast,Mike Gallagher,Dina Titus,"Henry C. ""Hank"" Johnson,  Jr.",Eleanor Holmes Norton,Albio Sires,Stacey E. Plaskett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PW12,Sam Graves,Don Young,"John J. Duncan,  Jr.",Frank A. LoBiondo,"Eric A. ""Rick"" Crawford",Lou Barletta,Bob Gibbs,Jeff Denham,Thomas Massie,Mark Meadows,Scott Perry,Rodney Davis,Rob Woodall,John Katko,Brian Babin,Garret Graves,Barbara Comstock,David Rouzer,Mike Bost,Doug LaMalfa,Bruce Westerman,Lloyd Smucker,Paul Mitchell,John J. Faso,"A. Drew Ferguson,  IV",Mike Gallagher,Eleanor Holmes Norton,Steve Cohen,Albio Sires,Richard M. Nolan,Dina Titus,Sean Patrick Maloney,Elizabeth H. Esty,Jared Huffman,Julia Brownley,Alan S. Lowenthal,Brenda L. Lawrence,Mark DeSaulnier,Eddie Bernice Johnson,Michael E. Capuano,Grace F. Napolitano,Daniel Lipinski,"Henry C. ""Hank"" Johnson,  Jr.",Lois Frankel,Cheri Bustos,Frederica S. Wilson,"Donald M. Payne,  Jr.",,,,,,,,,,,,,
PW14,Jeff Denham,"John J. Duncan,  Jr.",Sam Graves,Lou Barletta,Daniel Webster,Mark Meadows,Scott Perry,Mark Sanford,Todd Rokita,John Katko,Brian Babin,"Randy K. Weber,  Sr.",Bruce Westerman,Lloyd Smucker,Paul Mitchell,John J. Faso,Jason Lewis,Mike Gallagher,Michael E. Capuano,"Donald M. Payne,  Jr.",Elijah E. Cummings,Steve Cohen,Albio Sires,John Garamendi,Andre Carson,Richard M. Nolan,Elizabeth H. Esty,Cheri Bustos,Frederica S. Wilson,Mark DeSaulnier,Daniel Lipinski,Grace F. Napolitano,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PW02,Garret Graves,"Eric A. ""Rick"" Crawford",Bob Gibbs,Daniel Webster,Thomas Massie,Rodney Davis,Mark Sanford,Rob Woodall,Todd Rokita,John Katko,Brian Babin,David Rouzer,Mike Bost,"Randy K. Weber,  Sr.",Doug LaMalfa,"A. Drew Ferguson,  IV",Brian J. Mast,Grace F. Napolitano,Lois Frankel,Frederica S. Wilson,Jared Huffman,Alan S. Lowenthal,Eddie Bernice Johnson,John Garamendi,Dina Titus,Sean Patrick Maloney,Elizabeth H. Esty,Cheri Bustos,Julia Brownley,Brenda L. Lawrence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VR00,David P. Roe,Gus M. Bilirakis,Mike Coffman,Bill Flores,Aumua Amata Coleman Radewagen,Mike Bost,Bruce Poliquin,Neal P. Dunn,Jodey C. Arrington,Clay Higgins,Jack Bergman,Jim Banks,Jenniffer Gonzelez-Colen,Brian J. Mast,Timothy J. Walz,Mark Takano,Julia Brownley,Ann M. Kuster,Beto O'Rourke,Kathleen M. Rice,J. Luis Correa,Conor Lamb,Elizabeth H. Esty,Scott H. Peters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VR09,Mike Bost,Mike Coffman,Aumua Amata Coleman Radewagen,Jack Bergman,Jim Banks,Elizabeth H. Esty,Julia Brownley,Conor Lamb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VR10,Jodey C. Arrington,Gus M. Bilirakis,Bill Flores,Jim Banks,Brian J. Mast,Beto O'Rourke,Mark Takano,J. Luis Correa,Kathleen M. Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VR03,Neal P. Dunn,Gus M. Bilirakis,Bill Flores,Aumua Amata Coleman Radewagen,Clay Higgins,Jenniffer Gonzelez-Colen,Brian J. Mast,Julia Brownley,Mark Takano,Ann M. Kuster,Beto O'Rourke,J. Luis Correa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VR08,Jack Bergman,Mike Bost,Bruce Poliquin,Neal P. Dunn,Jodey C. Arrington,Jenniffer Gonzelez-Colen,Ann M. Kuster,Kathleen M. Rice,Scott H. Peters,Conor Lamb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VR11,Jim Banks,Mike Coffman,Jack Bergman,Conor Lamb,Scott H. Peters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WM00,Kevin Brady,Sam Johnson,Devin Nunes,David G. Reichert,Peter J. Roskam,Vern Buchanan,Adrian Smith,Lynn Jenkins,Erik Paulsen,Kenny Marchant,Diane Black,Tom Reed,Mike Kelly,James B. Renacci,Kristi L. Noem,George Holding,Jason Smith,Tom Rice,David Schweikert,Jackie Walorski,Carlos Curbelo,Mike Bishop,Darin LaHood,Brad R. Wenstrup,Richard E. Neal,Sander M. Levin,John Lewis,Lloyd Doggett,Mike Thompson,John B. Larson,Earl Blumenauer,Ron Kind,"Bill Pascrell,  Jr.",Joseph Crowley,Danny K. Davis,Linda T. Senchez,Brian Higgins,Terri A. Sewell,Suzan K. DelBene,Judy Chu,,,,,,,,,,,,,,,,,,,,
WM02,Peter J. Roskam,Sam Johnson,Devin Nunes,Vern Buchanan,Adrian Smith,Lynn Jenkins,Kenny Marchant,Diane Black,Erik Paulsen,Tom Reed,Mike Kelly,Sander M. Levin,Mike Thompson,Ron Kind,Earl Blumenauer,Brian Higgins,Terri A. Sewell,Judy Chu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WM03,Adrian Smith,Jackie Walorski,Carlos Curbelo,David Schweikert,Darin LaHood,Brad R. Wenstrup,David G. Reichert,Danny K. Davis,Lloyd Doggett,Terri A. Sewell,Judy Chu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WM06,Lynn Jenkins,Jackie Walorski,Carlos Curbelo,Mike Bishop,Darin LaHood,Brad R. Wenstrup,Kenny Marchant,John Lewis,Joseph Crowley,Suzan K. DelBene,Earl Blumenauer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WM05,Vern Buchanan,Peter J. Roskam,David G. Reichert,James B. Renacci,Kristi L. Noem,George Holding,Jason Smith,Tom Rice,David Schweikert,Lloyd Doggett,John B. Larson,Linda T. Senchez,Mike Thompson,Suzan K. DelBene,Earl Blumenauer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WM01,Sam Johnson,Mike Bishop,Vern Buchanan,Mike Kelly,Tom Rice,David Schweikert,Darin LaHood,John B. Larson,"Bill Pascrell,  Jr.",Joseph Crowley,Linda T. Senchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WM04,David G. Reichert,Devin Nunes,Erik Paulsen,Mike Kelly,Tom Reed,Kristi L. Noem,George Holding,Tom Rice,Kenny Marchant,Jason Smith,"Bill Pascrell,  Jr.",Ron Kind,Lloyd Doggett,Sander M. Levin,Danny K. Davis,Brian Higgins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
