,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
FA16, Karen  Bass, Susan  Wild, Dean  Phillips, Ilhan  Omar, Chrissy  Houlahan, Christopher H. Smith, F. James Sensenbrenner, Ron  Wright, Tim  Burchett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA05, Ami  Bera, Dina  Titus, Chrissy  Houlahan, Gerald E. Connolly, Brad  Sherman, Andy  Levin, Abigail Davis Spanberger, Ted S. Yoho, Scott  Perry, Ann  Wagner, Brian J. Mast, John R. Curtis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA14, William R. Keating, Abigail Davis Spanberger, Gregory W. Meeks, Albio  Sires, Theodore E. Deutch, David N. Cicilline, Ami  Bera, Dina  Titus, Susan  Wild, David J. Trone, Jim  Costa, Vicente  Gonzalez, Adam  Kinzinger, Joe  Wilson, Ann  Wagner, F. James Sensenbrenner, Francis  Rooney, Brian K. Fitzpatrick, Greg  Pence, Ron  Wright, Michael  Guest, Tim  Burchett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA13, Theodore E. Deutch, Gerald E. Connolly, David N. Cicilline, Ted  Lieu, Colin Z. Allred, Tom  Malinowski, David J. Trone, Brad  Sherman, William R. Keating, Juan  Vargas, Joe  Wilson, Steve  Chabot, Adam  Kinzinger, Lee M. Zeldin, Brian J. Mast, Brian K. Fitzpatrick, Guy  Reschenthaler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA17, Joaquin  Castro, Ilhan  Omar, Adriano  Espaillat, Ted  Lieu, Tom  Malinowski, David N. Cicilline, Lee M. Zeldin, Scott  Perry, Ken  Buck, Guy  Reschenthaler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA07, Albio  Sires, Gregory W. Meeks, Joaquin  Castro, Adriano  Espaillat, Dean  Phillips, Andy  Levin, Vicente  Gonzalez, Juan  Vargas, Francis  Rooney, Christopher H. Smith, Ted S. Yoho, John R. Curtis, Ken  Buck, Michael  Guest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM00, Bennie G. Thompson, Sheila  Jackson Lee, James R. Langevin, Donald M. Payne, Kathleen M. Rice, J. Luis Correa, Xochitl  Torres Small, Max  Rose, Lauren  Underwood, Elissa  Slotkin, Emanuel  Cleaver, Al  Green, Yvette D. Clarke, Dina  Titus, Bonnie  Watson Coleman, Nanette Diaz Barragen, Val Butler Demings, Mike  Rogers, Peter T. King, Michael T. McCaul, John  Katko, Mark  Walker, Clay  Higgins, Debbie  Lesko, Mark E. Green, John  Joyce, Dan  Crenshaw, Michael  Guest, Dan  Bishop, Jefferson  Van Drew, Mike  Garcia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM11, Kathleen M. Rice, Donald M. Payne, J. Luis Correa, Xochitl  Torres Small, Al  Green, Yvette D. Clarke, Bennie G. Thompson, Clay  Higgins, Debbie  Lesko, John  Joyce, Michael  Guest, Mike  Rogers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM08, Lauren  Underwood, Sheila  Jackson Lee, James R. Langevin, Kathleen M. Rice, Elissa  Slotkin, Bennie G. Thompson, John  Katko, Mark  Walker, Mark E. Green, John  Joyce, Mike  Rogers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM12, Donald M. Payne, Max  Rose, Lauren  Underwood, Al  Green, Yvette D. Clarke, Bennie G. Thompson, Peter T. King, Dan  Crenshaw, Michael  Guest, Dan  Bishop, Mike  Rogers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM05, Max  Rose, Sheila  Jackson Lee, James R. Langevin, Elissa  Slotkin, Bennie G. Thompson, Mark  Walker, Peter T. King, Mark E. Green, Mike  Rogers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM09, Xochitl  Torres Small, Dina  Titus, Bonnie  Watson Coleman, Nanette Diaz Barragen, Bennie G. Thompson, Dan  Crenshaw, Clay  Higgins, Jefferson  Van Drew, Mike  Rogers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM07, J. Luis Correa, Emanuel  Cleaver, Dina  Titus, Bonnie  Watson Coleman, Nanette Diaz Barragen, Val Butler Demings, Bennie G. Thompson, Debbie  Lesko, John  Katko, Dan  Bishop, Jefferson  Van Drew, Mike  Rogers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HA00, Zoe  Lofgren, Jamie  Raskin, Susan A. Davis, G. K. Butterfield, Marcia L. Fudge, Pete  Aguilar, Rodney  Davis, Mark  Walker, Barry  Loudermilk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HA08, Marcia L. Fudge, G. K. Butterfield, Pete  Aguilar, Rodney  Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU00, Jerrold  Nadler, Zoe  Lofgren, Sheila  Jackson Lee, Steve  Cohen," Henry C. ""Hank"" Johnson", Theodore E. Deutch, Karen  Bass, Hakeem S. Jeffries, David N. Cicilline, Eric  Swalwell, Ted  Lieu, Jamie  Raskin, Pramila  Jayapal, Val Butler Demings, J. Luis Correa, Mary Gay Scanlon, Sylvia R. Garcia, Joe  Neguse, Lucy  McBath, Greg  Stanton, Madeleine  Dean, Debbie  Mucarsel-Powell, Veronica  Escobar, Jim  Jordan, Doug  Collins, F. James Sensenbrenner, Steve  Chabot, Louie  Gohmert, Ken  Buck, Martha  Roby, Matt  Gaetz, Mike  Johnson, Andy  Biggs, Tom  McClintock, Debbie  Lesko, Guy  Reschenthaler, Ben  Cline, Kelly  Armstrong, W. Gregory Steube, Thomas P. Tiffany,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU05, David N. Cicilline," Henry C. ""Hank"" Johnson", Jamie  Raskin, Pramila  Jayapal, Val Butler Demings, Mary Gay Scanlon, Joe  Neguse, Lucy  McBath, F. James Sensenbrenner, Ken  Buck, Matt  Gaetz, Kelly  Armstrong, W. Gregory Steube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU03," Henry C. ""Hank"" Johnson", Theodore E. Deutch, Hakeem S. Jeffries, Ted  Lieu, Greg  Stanton, Zoe  Lofgren, Steve  Cohen, Karen  Bass, Eric  Swalwell, J. Luis Correa, Martha  Roby, Steve  Chabot, Doug  Collins, Matt  Gaetz, Mike  Johnson, Andy  Biggs, Guy  Reschenthaler, Ben  Cline, Thomas P. Tiffany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU08, Karen  Bass, Sheila  Jackson Lee, Val Butler Demings, Lucy  McBath, Theodore E. Deutch, Hakeem S. Jeffries, David N. Cicilline, Ted  Lieu, Madeleine  Dean, Debbie  Mucarsel-Powell, Steve  Cohen, F. James Sensenbrenner, Steve  Chabot, Louie  Gohmert, Tom  McClintock, Debbie  Lesko, Guy  Reschenthaler, Ben  Cline, W. Gregory Steube, Thomas P. Tiffany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU01, Zoe  Lofgren, Pramila  Jayapal, J. Luis Correa, Sylvia R. Garcia, Joe  Neguse, Debbie  Mucarsel-Powell, Veronica  Escobar, Sheila  Jackson Lee, Mary Gay Scanlon, Ken  Buck, Andy  Biggs, Tom  McClintock, Debbie  Lesko, Kelly  Armstrong, W. Gregory Steube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JU10, Steve  Cohen, Jamie  Raskin, Eric  Swalwell, Mary Gay Scanlon, Madeleine  Dean, Sylvia R. Garcia, Veronica  Escobar, Sheila  Jackson Lee, Mike  Johnson, Louie  Gohmert, Doug  Collins, Guy  Reschenthaler, Ben  Cline, Kelly  Armstrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II00, Rael M. Grijalva, Grace F. Napolitano, Jim  Costa, Gregorio Kilili Camacho Sablan, Jared  Huffman, Alan S. Lowenthal, Ruben  Gallego, TJ  Cox, Joe  Neguse, Mike  Levin, Debra A. Haaland, Joe  Cunningham, Nydia M. Velezquez, Diana  DeGette, Wm. Lacy Clay, Debbie  Dingell, Anthony G. Brown, A. Donald McEachin, Darren  Soto, Ed  Case, Steven  Horsford, Michael F. Q. San Nicolas, Matt  Cartwright, Paul  Tonko," Jeses G. ""Chuy"" Garcea", Nanette Diaz Barragen, Rob  Bishop, Don  Young, Louie  Gohmert, Doug  Lamborn, Robert J. Wittman, Tom  McClintock, Paul A. Gosar, Paul  Cook, Bruce  Westerman, Garret  Graves, Jody B. Hice, Aumua Amata Coleman Radewagen, Daniel  Webster, Liz  Cheney, Mike  Johnson, Jenniffer  Gonzelez-Colen, John R. Curtis, Kevin  Hern, Russ  Fulcher, Pete  Stauber,,,,,,,,,,,,,,,,,,,,,
II06, Alan S. Lowenthal, Mike  Levin, Joe  Cunningham, A. Donald McEachin, Diana  DeGette, Anthony G. Brown, Jared  Huffman, Matt  Cartwright, Rael M. Grijalva, Paul A. Gosar, Doug  Lamborn, Bruce  Westerman, Garret  Graves, Liz  Cheney, Kevin  Hern, Rob  Bishop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II24, Ruben  Gallego, Darren  Soto, Michael F. Q. San Nicolas, Debra A. Haaland, Ed  Case, Matt  Cartwright," Jeses G. ""Chuy"" Garcea", Rael M. Grijalva, Paul  Cook, Don  Young, Aumua Amata Coleman Radewagen, John R. Curtis, Kevin  Hern, Pete  Stauber, Rob  Bishop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II10, Debra A. Haaland, Joe  Neguse, Diana  DeGette, Debbie  Dingell, Steven  Horsford, Jared  Huffman, Ruben  Gallego, Alan S. Lowenthal, Ed  Case, Paul  Tonko," Jeses G. ""Chuy"" Garcea", Rael M. Grijalva, Don  Young, Louie  Gohmert, Tom  McClintock, Paul  Cook, Bruce  Westerman, Jody B. Hice, Daniel  Webster, John R. Curtis, Russ  Fulcher, Rob  Bishop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II15, TJ  Cox, Debbie  Dingell, A. Donald McEachin, Michael F. Q. San Nicolas, Rael M. Grijalva, Rael M. Grijalva, Louie  Gohmert, Paul A. Gosar, Mike  Johnson, Jenniffer  Gonzelez-Colen, Rob  Bishop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II13, Jared  Huffman, Grace F. Napolitano, Jim  Costa, Gregorio Kilili Camacho Sablan, Nydia M. Velezquez, Anthony G. Brown, Ed  Case, Alan S. Lowenthal, TJ  Cox, Joe  Neguse, Mike  Levin, Joe  Cunningham, Debbie  Dingell, Rael M. Grijalva, Tom  McClintock, Doug  Lamborn, Robert J. Wittman, Garret  Graves, Jody B. Hice, Aumua Amata Coleman Radewagen, Daniel  Webster, Mike  Johnson, Jenniffer  Gonzelez-Colen, Russ  Fulcher, Rob  Bishop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO00, Carolyn B. Maloney, Eleanor Holmes Norton, Wm. Lacy Clay, Stephen F. Lynch, Jim  Cooper, Gerald E. Connolly, Raja  Krishnamoorthi, Jamie  Raskin, Harley  Rouda, Ro  Khanna, Kweisi  Mfume, Debbie  Wasserman Schultz, John P. Sarbanes, Peter  Welch, Jackie  Speier, Robin L. Kelly, Mark  DeSaulnier, Brenda L. Lawrence, Stacey E. Plaskett, Jimmy  Gomez, Alexandria  Ocasio-Cortez, Ayanna  Pressley, Rashida  Tlaib, Katie  Porter, James  Comer, Jim  Jordan, Paul A. Gosar, Virginia  Foxx, Thomas  Massie, Jody B. Hice, Glenn  Grothman, Gary J. Palmer, Michael  Cloud, Bob  Gibbs, Clay  Higgins, Ralph  Norman, Chip  Roy, Carol D. Miller, Mark E. Green, Kelly  Armstrong, W. Gregory Steube, Fred  Keller,,,,,,,,,,,,,,,,,,,,,,,,,
GO02, Jamie  Raskin, Wm. Lacy Clay, Debbie  Wasserman Schultz, Robin L. Kelly, Jimmy  Gomez, Alexandria  Ocasio-Cortez, Ayanna  Pressley, Eleanor Holmes Norton, Rashida  Tlaib, Chip  Roy, Thomas  Massie, Jody B. Hice, Michael  Cloud, Carol D. Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO05, Raja  Krishnamoorthi, Mark  DeSaulnier, Ro  Khanna, Ayanna  Pressley, Rashida  Tlaib, Gerald E. Connolly, Katie  Porter, Michael  Cloud, Glenn  Grothman, Chip  Roy, Carol D. Miller, Fred  Keller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO28, Harley  Rouda, Rashida  Tlaib, Raja  Krishnamoorthi, Jackie  Speier, Jimmy  Gomez, Alexandria  Ocasio-Cortez, Eleanor Holmes Norton, Mark E. Green, Paul A. Gosar, Gary J. Palmer, Bob  Gibbs, Kelly  Armstrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO24, Gerald E. Connolly, Eleanor Holmes Norton, John P. Sarbanes, Jackie  Speier, Brenda L. Lawrence, Stacey E. Plaskett, Ro  Khanna, Stephen F. Lynch, Jamie  Raskin, Jody B. Hice, Thomas  Massie, Glenn  Grothman, Gary J. Palmer, Ralph  Norman, W. Gregory Steube, Fred  Keller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO06, Stephen F. Lynch, Jim  Cooper, Peter  Welch, Harley  Rouda, Debbie  Wasserman Schultz, Robin L. Kelly, Mark  DeSaulnier, Stacey E. Plaskett, Brenda L. Lawrence, Glenn  Grothman, Paul A. Gosar, Virginia  Foxx, Michael  Cloud, Clay  Higgins, Mark E. Green, Bob  Gibbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VC00, James E. Clyburn, Maxine  Waters, Carolyn B. Maloney, Nydia M. Velezquez, Bill  Foster, Jamie  Raskin, Andy  Kim, Steve  Scalise, Jim  Jordan, Blaine  Luetkemeyer, Jackie  Walorski, Mark E. Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RU00, James P. McGovern, Alcee L. Hastings, Norma J. Torres, Ed  Perlmutter, Jamie  Raskin, Mary Gay Scanlon, Joseph D. Morelle, Donna E. Shalala, Doris O. Matsui, Tom  Cole, Rob  Woodall, Michael C. Burgess, Debbie  Lesko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RU05, Jamie  Raskin, Donna E. Shalala, Norma J. Torres, James P. McGovern, Michael C. Burgess, Debbie  Lesko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RU02, Alcee L. Hastings, Joseph D. Morelle, Mary Gay Scanlon, Donna E. Shalala, James P. McGovern, Rob  Woodall, Michael C. Burgess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RU04, Norma J. Torres, Ed  Perlmutter, Mary Gay Scanlon, Joseph D. Morelle, James P. McGovern, Debbie  Lesko, Rob  Woodall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY00, Eddie Bernice Johnson, Zoe  Lofgren, Daniel  Lipinski, Suzanne  Bonamici, Ami  Bera, Lizzie  Fletcher, Haley M. Stevens, Kendra S. Horn, Mikie  Sherrill, Brad  Sherman, Steve  Cohen, Jerry  McNerney, Ed  Perlmutter, Paul  Tonko, Bill  Foster, Donald S. Beyer, Charlie  Crist, Sean  Casten, Ben  McAdams, Jennifer  Wexton, Conor  Lamb, Frank D. Lucas, Mo  Brooks, Bill  Posey, Randy K. Weber, Brian  Babin, Andy  Biggs, Roger W. Marshall, Ralph  Norman, Michael  Cloud, Troy  Balderson, Anthony  Gonzalez, Michael  Waltz, James R. Baird, Francis  Rooney, Gregory F. Murphy, Mike  Garcia, Thomas P. Tiffany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY20, Lizzie  Fletcher, Daniel  Lipinski, Haley M. Stevens, Kendra S. Horn, Jerry  McNerney, Bill  Foster, Sean  Casten, Conor  Lamb, Eddie Bernice Johnson, Randy K. Weber, Andy  Biggs, Ralph  Norman, Michael  Cloud, James R. Baird, Frank D. Lucas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY18, Mikie  Sherrill, Suzanne  Bonamici, Lizzie  Fletcher, Paul  Tonko, Charlie  Crist, Sean  Casten, Ben  McAdams, Conor  Lamb, Eddie Bernice Johnson, Roger W. Marshall, Brian  Babin, Anthony  Gonzalez, Francis  Rooney, Gregory F. Murphy, Frank D. Lucas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY21, Bill  Foster, Suzanne  Bonamici, Steve  Cohen, Donald S. Beyer, Jennifer  Wexton, Eddie Bernice Johnson, Ralph  Norman, Andy  Biggs, Michael  Waltz, Frank D. Lucas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY15, Haley M. Stevens, Daniel  Lipinski, Mikie  Sherrill, Brad  Sherman, Paul  Tonko, Ben  McAdams, Steve  Cohen, Bill  Foster, Eddie Bernice Johnson, James R. Baird, Roger W. Marshall, Troy  Balderson, Anthony  Gonzalez, Thomas P. Tiffany, Frank D. Lucas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY16, Kendra S. Horn, Zoe  Lofgren, Ami  Bera, Ed  Perlmutter, Donald S. Beyer, Charlie  Crist, Jennifer  Wexton, Eddie Bernice Johnson, Brian  Babin, Mo  Brooks, Bill  Posey, Michael  Waltz, Mike  Garcia, Frank D. Lucas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM00, Nydia M. Velezquez, Abby  Finkenauer, Jared F. Golden, Andy  Kim, Jason  Crow, Sharice  Davids, Kweisi  Mfume, Judy  Chu, Dwight  Evans, Bradley Scott Schneider, Adriano  Espaillat, Antonio  Delgado, Chrissy  Houlahan, Angie  Craig, Steve  Chabot, Aumua Amata Coleman Radewagen, Troy  Balderson, Kevin  Hern, Jim  Hagedorn, Pete  Stauber, Tim  Burchett, Ross  Spano, John  Joyce, Dan  Bishop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM23, Jared F. Golden, Judy  Chu, Pete  Stauber, Jim  Hagedorn, Troy  Balderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM27, Andy  Kim, Sharice  Davids, Bradley Scott Schneider, Adriano  Espaillat, Antonio  Delgado, Jason  Crow, Kevin  Hern, Ross  Spano, Aumua Amata Coleman Radewagen, Pete  Stauber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM26, Jason  Crow, Chrissy  Houlahan, Abby  Finkenauer, Andy  Kim, Sharice  Davids, Troy  Balderson, Tim  Burchett, Kevin  Hern, John  Joyce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM24, Judy  Chu, Dwight  Evans, Angie  Craig, Ross  Spano, Tim  Burchett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM25, Abby  Finkenauer, Jared F. Golden, Jason  Crow, Angie  Craig, John  Joyce, Aumua Amata Coleman Radewagen, Jim  Hagedorn, Dan  Bishop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PW00, Peter A. DeFazio, Eleanor Holmes Norton, Eddie Bernice Johnson, Rick  Larsen, Grace F. Napolitano, Daniel  Lipinski, Steve  Cohen, Albio  Sires, John  Garamendi," Henry C. ""Hank"" Johnson", Andre  Carson, Dina  Titus, Sean Patrick Maloney, Jared  Huffman, Julia  Brownley, Frederica S. Wilson, Donald M. Payne, Alan S. Lowenthal, Mark  DeSaulnier, Stacey E. Plaskett, Stephen F. Lynch, Salud O. Carbajal, Anthony G. Brown, Adriano  Espaillat, Tom  Malinowski, Greg  Stanton, Debbie  Mucarsel-Powell, Lizzie  Fletcher, Colin Z. Allred, Sharice  Davids, Abby  Finkenauer," Jeses G. ""Chuy"" Garcea", Antonio  Delgado, Chris  Pappas, Angie  Craig, Harley  Rouda, Conor  Lamb, Sam  Graves, Don  Young," Eric A. ""Rick"" Crawford", Bob  Gibbs, Daniel  Webster, Thomas  Massie, Scott  Perry, Rodney  Davis, Rob  Woodall, John  Katko, Brian  Babin, Garret  Graves, David  Rouzer, Mike  Bost, Randy K. Weber, Doug  LaMalfa, Bruce  Westerman, Lloyd  Smucker, Paul  Mitchell, Brian J. Mast, Mike  Gallagher, Gary J. Palmer, Brian K. Fitzpatrick, Jenniffer  Gonzelez-Colen, Troy  Balderson, Ross  Spano, Pete  Stauber, Carol D. Miller, Greg  Pence, Mike  Garcia
PW05, Rick  Larsen, Andre  Carson, Stacey E. Plaskett, Stephen F. Lynch, Eleanor Holmes Norton, Daniel  Lipinski, Steve  Cohen," Henry C. ""Hank"" Johnson", Dina  Titus, Julia  Brownley, Anthony G. Brown, Greg  Stanton, Colin Z. Allred," Jeses G. ""Chuy"" Garcea", Eddie Bernice Johnson, Sean Patrick Maloney, Donald M. Payne, Sharice  Davids, Angie  Craig, Grace F. Napolitano, Salud O. Carbajal, Peter A. DeFazio, Garret  Graves, Don  Young, Daniel  Webster, Thomas  Massie, Scott  Perry, Rob  Woodall, John  Katko, David  Rouzer, Lloyd  Smucker, Paul  Mitchell, Brian J. Mast, Mike  Gallagher, Brian K. Fitzpatrick, Troy  Balderson, Ross  Spano, Pete  Stauber, Sam  Graves,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PW07, Sean Patrick Maloney, Rick  Larsen, Stacey E. Plaskett, John  Garamendi, Alan S. Lowenthal, Anthony G. Brown, Chris  Pappas, Conor  Lamb, Peter A. DeFazio, Bob  Gibbs, Don  Young, Randy K. Weber, Brian J. Mast, Mike  Gallagher, Carol D. Miller, Sam  Graves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PW13, Dina  Titus, Debbie  Mucarsel-Powell, Sharice  Davids, Eleanor Holmes Norton," Henry C. ""Hank"" Johnson", John  Garamendi, Anthony G. Brown, Lizzie  Fletcher, Peter A. DeFazio, John  Katko, Gary J. Palmer, Jenniffer  Gonzelez-Colen, Carol D. Miller, Greg  Pence, Mike  Garcia, Sam  Graves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PW12, Eleanor Holmes Norton, Eddie Bernice Johnson, Steve  Cohen, John  Garamendi," Henry C. ""Hank"" Johnson", Jared  Huffman, Julia  Brownley, Frederica S. Wilson, Alan S. Lowenthal, Mark  DeSaulnier, Salud O. Carbajal, Anthony G. Brown, Adriano  Espaillat, Tom  Malinowski, Greg  Stanton, Colin Z. Allred, Sharice  Davids, Abby  Finkenauer," Jeses G. ""Chuy"" Garcea", Antonio  Delgado, Chris  Pappas, Angie  Craig, Harley  Rouda, Grace F. Napolitano, Albio  Sires, Sean Patrick Maloney, Donald M. Payne, Daniel  Lipinski, Dina  Titus, Stacey E. Plaskett, Peter A. DeFazio, Rodney  Davis, Don  Young," Eric A. ""Rick"" Crawford", Bob  Gibbs, Daniel  Webster, Thomas  Massie, Rob  Woodall, John  Katko, Brian  Babin, David  Rouzer, Mike  Bost, Doug  LaMalfa, Bruce  Westerman, Lloyd  Smucker, Paul  Mitchell, Mike  Gallagher, Gary J. Palmer, Brian K. Fitzpatrick, Troy  Balderson, Ross  Spano, Pete  Stauber, Carol D. Miller, Greg  Pence, Mike  Garcia, Sam  Graves,,,,,,,,,,,
PW14, Daniel  Lipinski, Albio  Sires, Donald M. Payne, Lizzie  Fletcher, Andre  Carson, Frederica S. Wilson, Mark  DeSaulnier, Stephen F. Lynch, Tom  Malinowski, Grace F. Napolitano, Steve  Cohen," Jeses G. ""Chuy"" Garcea", Eleanor Holmes Norton, Eddie Bernice Johnson, Alan S. Lowenthal, Colin Z. Allred, Angie  Craig, Conor  Lamb, Peter A. DeFazio," Eric A. ""Rick"" Crawford", Scott  Perry, Rodney  Davis, Brian  Babin, Mike  Bost, Randy K. Weber, Doug  LaMalfa, Lloyd  Smucker, Paul  Mitchell, Brian K. Fitzpatrick, Troy  Balderson, Ross  Spano, Pete  Stauber, Greg  Pence, Sam  Graves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PW02, Grace F. Napolitano, Debbie  Mucarsel-Powell, Eddie Bernice Johnson, John  Garamendi, Jared  Huffman, Alan S. Lowenthal, Salud O. Carbajal, Adriano  Espaillat, Lizzie  Fletcher, Abby  Finkenauer, Antonio  Delgado, Chris  Pappas, Angie  Craig, Harley  Rouda, Frederica S. Wilson, Stephen F. Lynch, Tom  Malinowski, Peter A. DeFazio, Bruce  Westerman, Daniel  Webster, Thomas  Massie, Rob  Woodall, Brian  Babin, Garret  Graves, David  Rouzer, Mike  Bost, Randy K. Weber, Doug  LaMalfa, Brian J. Mast, Gary J. Palmer, Jenniffer  Gonzelez-Colen, Sam  Graves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VR00, Mark  Takano, Julia  Brownley, Kathleen M. Rice, Conor  Lamb, Mike  Levin, Max  Rose, Chris  Pappas, Elaine G. Luria, Susie  Lee, Joe  Cunningham, Gilbert Ray Cisneros, Collin C. Peterson, Gregorio Kilili Camacho Sablan, Colin Z. Allred, Lauren  Underwood, Anthony  Brindisi, David P. Roe, Gus M. Bilirakis, Aumua Amata Coleman Radewagen, Mike  Bost, Neal P. Dunn, Jack  Bergman, Jim  Banks, Andy  Barr, Daniel  Meuser, Chip  Roy, W. Gregory Steube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VR09, Elaine G. Luria, Gilbert Ray Cisneros, Gregorio Kilili Camacho Sablan, Colin Z. Allred, Lauren  Underwood, Mike  Bost, Gus M. Bilirakis, W. Gregory Steube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
